RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,LAT,LON,PRICE_PER_SQM,PRICE_PER_PYEONG
2026,11320,도봉구,10700,창동,1,대지,373,0,창동주공4단지,2026-09-02,46000,41.3,0.0,3.0,,,1991,아파트,중개거래,서울 도봉구,37.645841010278,127.048016739909,1113.8,3682.0
2026,11320,도봉구,10700,창동,1,대지,347,0,창동주공3단지(해등마을),2026-09-02,74000,49.94,0.0,3.0,,,1990,아파트,중개거래,서울 도봉구,37.6500631583751,127.04420113616,1481.8,4898.4
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,20.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,65658,50.25,0.0,14.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1306.6,4319.4
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,65658,50.25,0.0,14.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1306.6,4319.4
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,65658,50.25,0.0,15.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1306.6,4319.4
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,65658,50.25,0.0,15.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1306.6,4319.4
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,16.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11380,은평구,10600,대조동,1,대지,179,16,북한산포레스트,2026-09-02,19000,19.08,0.0,3.0,,,2021,아파트,중개거래,서울 은평구,37.6075919366078,126.922186036575,995.8,3291.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,16.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,17.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66896,50.25,0.0,19.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1331.3,4400.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66896,50.25,0.0,18.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1331.3,4400.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66896,50.25,0.0,18.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1331.3,4400.9
