CGG_NM,STDG_NM,MNO,SNO,BLDG_NM,JIBUN_ADDR,LAT,LON,GEOCODE_METHOD
중랑구,신내동,657,0,신내9진흥,서울특별시 중랑구 신내동 657,37.6119855898595,127.094726629688,address
마포구,서교동,490,0,메세나폴리스,서울특별시 마포구 서교동 490,37.5507467154903,126.913768796333,address
서대문구,홍은동,202,5,"현대(1,2차)",서울특별시 서대문구 홍은동 202-5,37.5902548794754,126.938328720978,address
양천구,신정동,743,2,신정6현대,서울특별시 양천구 신정동 743-2,37.5081291196913,126.84158898885,address
동작구,사당동,1151,0,갑을명가,서울특별시 동작구 사당동 1151,37.4824711263461,126.966364603949,address
은평구,응암동,771,0,e편한세상백련산,서울특별시 은평구 응암동 771,37.5955669839631,126.923882803525,address
강동구,천호동,571,0,래미안강동팰리스,서울특별시 강동구 천호동 571,37.5372215425849,127.131974711687,address
동작구,상도동,408,0,상도동삼호아파트,서울특별시 동작구 상도동 408,37.4935295589991,126.95743119907,address
구로구,오류동,340,0,삼천리,서울특별시 구로구 오류동 340,37.4925635132182,126.839371158542,address
도봉구,도봉동,642,0,현대성우,서울특별시 도봉구 도봉동 642,37.6763172935299,127.047678959744,address
서대문구,연희동,740,0,성원,서울특별시 서대문구 연희동 740,37.5761445850031,126.938637748386,address
양천구,목동,929,0,목동청구한신아파트,서울특별시 양천구 목동 929,37.5414580717709,126.881654577667,address
강북구,미아동,561,2,현대성우,서울특별시 강북구 미아동 561-2,37.6172043844266,127.022104374602,address
영등포구,문래동3가,93,1,문래건영,서울특별시 영등포구 문래동3가 93-1,37.5183980014505,126.892459322492,address
구로구,구로동,108,2,새솔금호,서울특별시 구로구 구로동 108-2,37.4999944583683,126.890314741102,address
마포구,신수동,456,0,마포경남아너스빌,서울특별시 마포구 신수동 456,37.5491224507214,126.934301404394,address
중랑구,중화동,450,0,한신아파트상가동유치원동(103~109),서울특별시 중랑구 중화동 450,37.5971495731568,127.081907230062,address
도봉구,방학동,731,0,한화성원아파트,서울특별시 도봉구 방학동 731,37.661265380776,127.031765765872,address
성북구,종암동,80,0,래미안크리시엘,서울특별시 성북구 종암동 80,37.6009876756256,127.030155293619,address
영등포구,당산동3가,564,0,당산계룡리슈빌1단지,서울특별시 영등포구 당산동3가 564,37.5250516747965,126.899249519511,address
강동구,길동,349,1,다성이즈빌(349-1),서울특별시 강동구 길동 349-1,37.5406649459172,127.142548285305,address
성북구,돈암동,624,0,구현대,서울특별시 성북구 돈암동 624,37.6016259156478,127.024833910185,address
도봉구,방학동,274,0,삼익세라믹아파트,서울특별시 도봉구 방학동 274,37.6611236514876,127.034044277256,address
중랑구,상봉동,116,49,상봉생활,서울특별시 중랑구 상봉동 116-49,37.5958074680272,127.081761045362,address
동대문구,장안동,381,3,한강훼미리주상복합아파트,서울특별시 동대문구 장안동 381-3,37.568601417413,127.068165655118,address
강서구,마곡동,751,0,마곡엠벨리(15단지),서울특별시 강서구 마곡동 751,37.556726750174,126.828076496675,address
성북구,돈암동,609,1,한진(609-1),서울특별시 성북구 돈암동 609-1,37.5941783218836,127.010321322145,address
성북구,정릉동,809,0,정릉중앙하이츠아파트,서울특별시 성북구 정릉동 809,37.6194079107862,127.002062877606,address
강서구,등촌동,511,4,등촌퀸즈포디엄삼익,서울특별시 강서구 등촌동 511-4,37.5473050125372,126.862368475795,address
구로구,고척동,296,0,대우,서울특별시 구로구 고척동 296,37.5030248070323,126.855476756678,address
관악구,신림동,1704,1,주공1,서울특별시 관악구 신림동 1704-1,37.466047276267,126.927949404295,address
양천구,신정동,1310,0,동일하이빌1단지,서울특별시 양천구 신정동 1310,37.5118701719947,126.839118621137,address
중랑구,신내동,618,0,동성3,서울특별시 중랑구 신내동 618,37.6085274461075,127.096246072268,address
도봉구,도봉동,647,0,도봉파크빌2,서울특별시 도봉구 도봉동 647,37.6843714025297,127.05072081523,address
성북구,장위동,320,0,래미안장위퍼스트하이,서울특별시 성북구 장위동 320,37.6200557016344,127.051434874575,address
동작구,상도동,431,0,래미안상도3차,서울특별시 동작구 상도동 431,37.4993523923787,126.954733217786,address
서초구,반포동,1,0,래미안원베일리,서울특별시 서초구 반포동 1,37.5070610418124,126.99796905841,address
강서구,내발산동,759,0,마곡수명산파크6단지,서울특별시 강서구 내발산동 759,37.5503706507753,126.825729445463,address
양천구,신정동,883,0,심미에셈빌,서울특별시 양천구 신정동 883,37.527951678253,126.859729833829,address
