SIDO_NM,SGG_NM,ADMI_NM,FULL_NM,ADMI_CD,TT,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,12,127.26,1440.954575342466,1044.1028219178083,1359.2334520547945,1191.9973424657535,1290.9957808219178,1238.2126575342465,1022.5235068493151,119.56178082191782,509.9325205479452,1018.0327397260274,1394.2508767123288,1231.2988493150685,1437.295287671233,1539.4357534246576,1414.8651780821917
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,13,123.66054794520548,1379.6237534246575,1006.7712602739726,1318.3944931506849,1172.6603835616438,1275.362301369863,1232.6864109589042,1022.4596986301369,117.42624657534247,504.66975342465753,975.2354794520548,1345.0370684931509,1208.9586849315067,1406.424,1531.7702739726028,1411.8931780821918
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,14,110.74106849315068,1318.416684931507,977.6676438356164,1296.434493150685,1152.8394794520548,1272.5166575342466,1234.9571780821918,1022.4876438356164,107.6404383561644,493.22358904109586,944.2602739726027,1312.2659726027398,1191.1174246575342,1388.350301369863,1522.6137260273972,1404.849890410959
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,15,98.37336986301369,1192.0075616438357,961.4673424657535,1289.8304383561644,1143.6518630136986,1262.6838630136986,1246.0319726027396,1035.9475890410959,104.46852054794522,491.5361917808219,929.8678082191781,1299.2522739726028,1178.1154520547946,1404.0444657534247,1561.307095890411,1411.5408493150685
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,16,89.39273972602739,898.2612054794521,959.2438630136986,1292.3742191780823,1139.0034246575342,1254.2530684931507,1259.2102739726026,1059.240602739726,95.18597260273972,498.94243835616436,930.5510410958905,1297.7173698630138,1165.4073698630136,1419.066410958904,1607.1309041095892,1440.377890410959
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,17,86.72353424657534,745.2261095890411,965.9259999999999,1313.224794520548,1148.0042739726027,1233.7497260273974,1286.8286575342465,1090.457506849315,93.53517808219178,492.0727671232877,948.9267671232877,1315.6008219178082,1180.0425479452056,1453.590602739726,1655.697205479452,1468.459397260274
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,18,93.30446575342465,708.4390410958904,999.8452602739726,1397.4603287671234,1202.1107671232876,1240.7436438356165,1337.8318082191781,1121.921397260274,96.75172602739725,488.1485479452055,1030.7665753424658,1412.6741369863014,1225.3220821917807,1503.0020547945205,1694.5009863013697,1495.9812602739728
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,19,97.53912328767123,705.8315890410959,1067.0294520547945,1536.3993424657535,1292.406,1294.1923561643837,1399.6668767123288,1138.637397260274,97.91586301369863,493.50523287671234,1123.5609315068493,1578.5777260273971,1306.8113698630139,1569.0015616438354,1741.2010958904111,1504.7002465753424
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,20,97.7212602739726,717.4222739726027,1121.356191780822,1636.5334520547945,1358.7987671232877,1331.2890410958903,1446.5679999999998,1150.6963835616439,99.0875890410959,523.4153150684931,1198.8080273972603,1685.2917534246576,1368.190904109589,1622.5863561643837,1779.7975342465752,1508.6786849315067
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,21,98.20164383561644,734.5697260273973,1178.8093698630137,1721.2242465753425,1406.1672054794522,1375.030383561644,1492.3610410958904,1168.9890684931506,99.5363287671233,548.6831232876713,1279.7062191780822,1765.7402191780823,1422.9313424657535,1673.9535342465754,1825.087205479452,1516.5081917808218
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,22,97.60427397260273,761.9790136986302,1246.9409589041097,1793.222383561644,1435.5394246575343,1406.6069589041094,1530.0537808219178,1179.2715342465754,99.58895890410959,591.2626575342466,1365.4008767123287,1846.288219178082,1477.052493150685,1735.210904109589,1858.9523287671232,1518.179315068493
서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동,11500530,23,96.89895890410959,775.6539452054794,1306.3431506849315,1849.7443287671235,1457.8701917808219,1426.906,1542.4238904109588,1179.0504383561642,99.50243835616438,610.4549589041096,1433.889808219178,1904.7609315068494,1506.4757534246576,1767.7784383561643,1865.2552328767124,1515.19901369863
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,0,135.22013698630136,905.4908767123287,1740.0934520547944,2773.0049589041096,2092.8303561643834,2165.931287671233,2874.2781369863014,2263.5069589041095,185.6130410958904,897.8066849315069,1875.4050410958903,2684.4620547945206,2103.6364383561645,2557.802164383562,3146.2085753424653,2964.6710410958904
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,1,135.09468493150683,905.7920547945205,1723.5403013698628,2749.3393150684933,2075.4571780821916,2160.5691506849316,2870.5779726027395,2259.5080000000003,185.7910684931507,894.9777808219178,1862.1570684931505,2677.4399452054795,2099.7371232876712,2546.698082191781,3137.9626849315064,2961.833424657534
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,2,134.67969863013698,906.304493150685,1716.1246575342466,2732.523424657534,2063.5423287671233,2158.850301369863,2869.0157260273972,2257.559178082192,186.0081095890411,893.5372054794522,1850.4599178082192,2674.257835616438,2097.6568493150685,2545.8368219178083,3133.240328767123,2957.443808219178
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,3,134.43235616438355,906.1986575342466,1711.7931780821918,2723.960794520548,2052.9999452054794,2155.0840273972603,2864.973506849315,2256.762410958904,185.72983561643835,892.1362191780821,1844.6299452054795,2670.587671232877,2096.332712328767,2539.0390410958903,3129.6868767123287,2952.689780821918
